200 500
69 149 7
37 181 5
173 5 9
109 53 1
32 36 10
128 71 1
52 51 5
71 50 7
163 153 3
155 169 3
143 178 2
90 185 10
43 165 3
116 124 8
56 74 4
197 117 5
14 50 4
125 122 3
81 46 4
185 145 9
184 114 9
96 114 10
36 19 6
5 176 6
115 156 8
41 69 3
63 72 4
60 27 2
135 136 3
40 86 9
178 112 1
196 7 2
191 5 7
41 171 4
108 179 8
141 37 2
52 75 3
148 51 8
137 173 7
181 135 4
105 11 3
152 34 8
14 190 4
171 90 1
150 130 5
129 83 8
87 94 10
79 28 9
25 53 7
116 68 1
88 89 8
159 188 1
124 136 9
169 180 5
122 21 4
43 193 6
25 71 6
169 182 5
66 8 8
149 21 7
165 123 8
100 68 7
70 33 9
123 32 2
8 46 1
81 170 7
82 81 1
143 129 4
5 186 1
17 126 3
148 37 1
7 0 2
178 55 7
115 133 6
122 25 5
198 67 3
160 7 5
1 141 8
93 104 10
108 36 9
186 177 10
170 190 10
186 22 5
31 13 6
64 171 7
120 124 9
145 195 10
78 147 7
130 168 1
33 15 7
30 86 10
194 174 9
7 68 7
98 57 1
54 2 3
58 99 3
25 107 7
170 64 5
42 21 8
49 139 1
153 129 5
181 102 3
87 8 5
49 121 1
32 38 9
196 107 7
96 144 2
12 169 9
133 59 3
195 122 8
182 189 2
40 165 4
113 37 9
73 58 9
53 182 4
64 23 5
29 178 1
175 67 2
185 50 6
77 40 4
86 175 6
75 186 2
25 42 2
192 103 1
192 2 3
159 49 9
5 83 5
117 125 5
185 76 8
198 121 5
152 77 3
167 127 2
113 22 1
158 32 5
105 197 6
87 170 2
120 192 4
42 100 9
173 87 3
150 172 7
16 23 7
90 145 8
78 10 5
20 65 1
50 103 4
104 5 4
54 184 4
94 53 3
148 102 3
7 43 5
55 125 3
