200 500
117 74 7
95 189 9
189 187 2
148 106 5
135 169 8
47 47 4
56 120 9
20 115 10
88 148 7
62 46 10
138 26 5
18 95 6
111 180 9
152 174 10
140 104 7
147 181 4
180 37 9
99 46 4
112 152 9
41 140 7
46 53 5
24 56 6
151 105 4
49 44 3
34 191 6
20 83 7
28 178 10
128 101 5
116 71 6
160 47 2
36 164 7
148 52 1
8 37 1
96 118 4
99 192 3
39 120 2
126 152 4
173 74 9
181 125 10
189 156 5
58 67 8
21 198 8
120 20 2
190 136 5
51 103 7
3 87 5
9 37 1
167 131 3
154 138 9
120 99 6
51 188 2
0 40 7
124 98 6
199 180 10
50 82 8
95 199 1
79 82 7
40 20 1
156 59 7
110 49 4
14 23 7
102 160 8
70 191 8
180 141 5
37 131 6
40 58 9
169 181 4
9 186 10
162 126 3
63 117 1
130 178 3
115 6 4
106 149 5
123 140 9
167 115 7
100 97 1
180 99 2
141 69 4
178 60 10
61 41 3
26 55 6
142 181 4
37 34 5
93 139 2
85 105 1
53 181 10
181 48 7
150 192 5
84 164 10
137 160 3
56 50 2
149 59 6
192 94 8
86 22 2
53 126 2
2 12 9
49 7 3
1 189 9
191 136 4
124 42 9
144 193 3
101 149 4
191 20 1
40 76 7
187 7 7
190 64 4
62 100 2
82 131 9
33 188 6
121 29 1
128 3 1
146 133 8
57 42 2
85 166 3
177 140 6
11 106 8
34 56 6
153 144 5
131 17 10
113 54 7
134 167 3
20 89 6
172 12 4
172 193 5
152 140 4
114 91 7
129 65 3
165 199 1
29 134 8
7 196 4
56 22 3
2 101 4
76 132 4
59 145 1
127 192 6
159 119 1
198 164 10
159 57 8
121 43 7
163 135 8
42 82 8
94 193 5
119 83 4
39 46 7
20 37 5
3 90 2
126 131 7
57 48 9
153 55 8
69 149 1
37 35 9
56 36 4
139 162 6
166 112 9
191 44 3
172 179 2
43 164 1
17 158 1
52 69 8
78 184 1
125 18 1
21 65 10
164 161 6
181 75 6
121 1 6
8 175 4
99 62 9
34 40 3
117 89 10
127 118 1
145 175 1
51 32 6
98 29 3
9 176 4
16 36 9
57 113 6
83 63 2
61 78 6
190 163 1
27 51 6
88 125 5
171 163 10
172 94 6
105 181 7
85 67 3
120 70 10
52 1 4
191 22 2
76 140 9
95 105 9
164 97 6
52 108 9
95 10 8
187 123 1
7 13 10
23 91 2
73 111 3
121 193 2
85 127 8
35 32 7
54 155 3
138 92 9
59 13 8
46 79 10
178 195 9
1 172 5
64 41 8
188 91 8
92 81 4
16 12 7
132 73 3
154 61 7
194 156 7
80 88 9
32 104 1
7 17 6
129 191 5
89 24 6
123 148 2
144 85 3
2 142 3
121 70 1
16 70 6
159 78 8
188 40 9
180 26 5
178 105 4
62 123 2
105 133 1
163 0 8
113 194 7
50 181 8
159 87 8
13 116 10
168 12 6
86 70 2
92 152 5
198 80 6
195 162 4
90 24 3
199 51 7
171 44 9
125 139 9
138 178 3
175 5 7
150 184 4
190 9 4
75 184 5
56 64 7
77 14 3
53 174 7
136 162 4
112 174 4
144 78 1
96 56 5
88 176 7
186 25 8
107 60 10
51 122 2
109 39 10
119 164 2
121 194 7
97 63 4
128 8 10
136 21 7
144 57 6
7 31 8
166 151 7
86 39 3
107 139 3
78 197 10
52 67 9
88 33 1
191 144 3
46 6 1
98 7 2
167 172 3
80 106 6
47 104 1
198 80 4
143 22 10
69 25 10
28 120 5
64 94 8
79 112 3
16 182 6
98 122 7
177 131 10
138 51 3
17 40 8
82 94 6
85 156 7
145 44 8
69 118 5
33 20 5
