200 500
125 87 6
66 111 10
105 190 2
33 132 1
132 164 5
91 44 1
31 165 6
19 95 1
27 57 6
125 160 10
164 37 6
147 135 1
125 3 10
28 87 6
57 45 6
121 165 5
113 13 10
145 45 10
152 161 8
34 131 4
111 76 10
123 193 1
99 23 3
98 36 5
34 158 8
12 63 1
53 120 6
31 184 6
22 114 4
100 96 3
86 145 3
154 40 3
197 163 8
36 132 3
133 81 5
85 103 10
7 13 4
99 104 3
97 26 8
44 65 7
56 123 10
72 57 8
190 93 4
158 165 6
68 42 2
111 102 4
6 41 8
16 26 2
57 33 7
38 128 3
188 190 8
130 109 5
113 134 4
120 135 2
36 108 9
16 179 5
13 144 4
189 60 3
63 70 10
165 160 8
100 50 3
43 113 8
104 160 9
26 82 9
125 119 3
23 162 1
7 185 10
35 3 8
97 142 3
103 183 6
12 47 9
26 90 3
150 71 10
17 166 2
46 111 9
157 75 1
68 25 3
12 5 4
180 73 7
122 105 3
141 164 9
125 152 2
26 66 3
150 60 4
112 61 4
171 26 6
100 0 10
104 179 4
153 192 2
60 189 7
146 166 1
74 27 8
163 63 2
78 40 3
92 83 10
139 38 4
2 15 9
115 11 5
177 53 2
48 115 6
22 145 2
164 132 6
147 187 9
90 48 9
64 37 10
36 96 4
152 97 5
184 119 6
106 90 8
17 98 5
100 61 5
103 5 3
48 3 4
162 186 5
82 28 5
112 124 2
81 125 6
48 107 4
127 182 9
183 29 8
71 8 10
78 12 9
138 187 8
63 27 5
168 36 1
4 142 9
151 0 6
132 152 5
99 5 5
154 142 2
78 53 7
102 94 8
163 182 8
149 158 4
175 74 7
116 122 5
6 196 7
107 121 2
21 57 10
125 131 7
115 100 2
166 170 5
195 125 4
105 162 6
100 100 1
167 40 1
198 76 3
35 193 7
187 35 4
59 166 2
152 51 2
